품목기준코드,품목명,업체명,회수사유내용,강제여부구분,승인일자,회수명령일자,사업자번호,표준코드,
200200325,테이코신주(테이코플라닌),일동제약(주),시판후안정성시험에서부적합(수분시험기준초과)에따른영업자회수,N,-,20260605,6828500435,8806429022706|8806429022713|8806429022720,
196700015,하트만덱스액,제이더블유중외제약(주),시판후안전관리정보에따른사전예방적조치로영업자회수,N,-,20260602,1188102477,8806449044702|8806449044719|8806449044726|8806449119301|8806449119318|8806449119325|8806449119332,
201309652,로바티탄정20/160밀리그램,(주)엘지화학,시판후안정성시험일부항목기준초과및사전예방적조치에따른영업자회수,N,-,20260602,1078198139,8806689026605|8806689026612|8806689026629,
201309653,로바티탄정20/80밀리그램,(주)엘지화학,시판후안정성시험일부항목기준초과및사전예방적조치에따른영업자회수,N,-,20260602,1078198139,8806689026704|8806689026711|8806689026728,
201309654,로바티탄정10/160밀리그램,(주)엘지화학,시판후안정성시험일부항목기준초과및사전예방적조치에따른영업자회수,N,-,20260602,1078198139,8806689026407|8806689026414|8806689026421,
201309655,로바티탄정10/80밀리그램,(주)엘지화학,시판후안정성시험일부항목기준초과및사전예방적조치에따른영업자회수,N,-,20260602,1078198139,8806689026506|8806689026513|8806689026520,
201404745,로바티탄정5/80밀리그램,(주)엘지화학,시판후안정성시험일부항목기준초과및사전예방적조치에따른영업자회수,N,-,20260602,1078198139,8806689028807|8806689028814,
201404990,로바티탄정5/160밀리그램,(주)엘지화학,시판후안정성시험일부항목기준초과및사전예방적조치에따른영업자회수,N,-,20260602,1078198139,8806689029002|8806689029019,
201108773,선일인동,농업회사법인선일생약주식회사,순도시험1)이물,Y,20260605154633,20260601,1328199911,8800617004604|8800617004611|8800617004628,
201900360,엔탭허브작약,(주)엔탭허브,정량법(알비플로린및패오니플로린의합),Y,20260605143945,20260601,3308101200,8800626015509|8800626015516|8800626015523,
201906653,형율차전자,형율제약주식회사,품질부적합[잔류농약(프로사이미돈)기준초과],Y,-,20260601,2558600735,8800647006906|8800647006913,
197400040,인데놀정10mg(프로프라놀롤염산염),동광제약(주),불순물(N-nitroso-propranolol)허용기준초과검출에따른영업자회수,N,20260529165844,20260529,2018644250,8806459024701|8806459024718|8806459024725|8806459024732,
202005106,레이헥솔주300(이오헥솔),일성아이에스(주),제품라벨에표시기재(표준코드)오기재로인한영업자회수,N,20260602103312,20260528,1068100710,8806554041405|8806554041412|8806554041429|8806554041436|8806554041443|8806554041450,
202400552,1.엑스퍼트브레스케어일사오공치약|2.엑스퍼트보타닉일사오공치약|3.엑스퍼트주니어치약(트로피칼후르츠향)|4.덴티메이트일사오공구취케어치약|5.덴티메이트일사오공충치케어치약|6.덴티메이트뉴일사오공구취케어치약|7.덴티메이트뉴일사오공충치케어치약|8.크리오지오일사오공치약|9.삭제|10.덴티메이트뉴일사오공구취솔루션치약,(주)크리오,품질부적합(pH),Y,-,20260528,1298116141,-,
201109869,펠라고시럽(펠라고니움시도이데스11%에탄올추출물(1→8~10)·글리세린혼합액(8:2)),(주)씨엠지제약,품질부적합우려(성상|미생물한도)에따른영업자회수,N,20260527164001,20260526,1348171976,8806486024507|8806486024514|8806486024521|8806486024538,
201908484,스피롱액,삼성제약(주),안정성시험부적합(성상|pH)에따른영업자회수,N,20260601111600,20260526,2078100726,8806423082409|8806423082416|8806423088609|8806423088616|8806473041104|8806473041111,
200712885,도라셋정,진양제약(주),불순물(N-nitroso-desmethyl-tramadol)초과검출에따른시중유통품에대한영업자회수,N,-,20260522,2148110673,8806503017109|8806503017116|8806503017123|8806503017130,
200504595,현진오매,(주)현진제약,순도시험4)벤조피렌,Y,20260522165838,20260520,2048189192,8800648012609|8800648012616|8800648012623|8800648012630,
200504627,현진초과,(주)현진제약,순도시험4)벤조피렌,Y,20260522165708,20260520,2048189192,8800648016904|8800648016911|8800648016928|8800648016935,
200712693,푸른무약목통,(주)푸른무약,성상부적합(주피미제거),Y,20260522141631,20260520,2048181939,8800687005709|8800687005716|8800687005723|8800687005730|8800687005747,
201900520,엔탭허브오매,(주)엔탭허브,순도시험4)벤조피렌,Y,20260522151704,20260520,3308101200,8800626002202|8800626002219|8800626002226,
201903895,올본당귀,주식회사올본,중금속(카드뮴),Y,20260522135447,20260520,4858801436,8800612004104|8800612004111|8800612004128|8800612004135,
202106217,크레메진속붕정(구형흡착탄),에이치케이이노엔(주),품질부적합(잔류용매(에탄올))우려에따른사전예방적조치로시중유통품에대해영업자회수,N,20260527160410,20260520,2018638914,8806400077602|8806400077619|8806400077626,
