연번,기업명(자발적 협약 기업),제품명,품목,자가검사번호(신고번호)
1,메디앙스(주),비앤비 섬유세제 (베이비파우더),세탁세제,HB21-03-0735
2,메디앙스(주),비앤비 비건 섬유세제,세탁세제,HB22-03-0064
3,메디앙스(주),비앤비 비건 섬유유연제,섬유유연제,HB22-05-0033
4,(주)아성,1043054 고체구두약(블랙),광택코팅제,GB22-06-0265
5,(주)아성,1043055 고체구두약(브라운),광택코팅제,GB22-06-0264
6,(주)아성,1043684 아쿠아향 주사기형 변기세정제,세정제,GB23-01-0210
7,(주)아성,1043685 블랙체리향 주사기형 변기세정제,세정제,GB23-01-0277
8,(주) 아성,1049327 소변기 패드(레몬향),탈취제,GB24-13-0136
9,(주)아성에이치엠피,크리스마스 오브제 캔들 (화이트트리),초,GB20-26-1008
10,(주)아성에이치엠피,크리스마스 오브제 캔들 (그린트리),초,GB20-26-1008
11,(주)아성에이치엠피,크리스마스 디자인 오브제 캔들,초,GB20-26-1008
12,주식회사 한국미라클피플사,던지는 세탁세제 (미니 캡슐),세탁세제,EA20-03-0184
13,(주)에이치비글로벌,노브랜드 세탁세제 4리터(일반/드럼겸용),세탁세제,FB20-03-0214
14,(주)에이치비글로벌,노브랜드 2.1 L 리필 세탁세제,세탁세제,FB20-03-0214
15,라이온코리아 주식회사,노브랜드 쓱 세탁세제 (액체),세탁세제,EB19-03-0048
16,라이온코리아 주식회사,노브랜드 쓱 세탁세제 (분말),세탁세제,EB21-03-0497
17,(주) 에이원케미칼,노브랜드발수코팅워셔액,자동차용 워셔액,DA21-16-0015
18,(주)디오티큐,냄새잡는왕코,탈취제,CB24-13-0409
19,(주)월드그린,샤크루베 문서세단기오일,특수목적코팅제,CB21-07-1233
20,(주)월드그린,샤크루베 베어링 오일,윤활제,CB22-32-0017
21,(주)월드그린,벨렉스 자전거오일(건식),특수목적코팅제,CB22-07-0124
22,(주)월드그린,자전거오일(사계절),특수목적코팅제,CB21-07-1032
23,(주)월드그린,자전거오일(습식),특수목적코팅제,CB21-07-1034
24,(주)월드그린,규조토,제거제,CB22-02-0007
25,(주)월드그린,가구오일/레몬,특수목적코팅제,CB21-07-1257
26,(주)월드그린,가구오일/오렌지,특수목적코팅제,CB21-07-1270
27,(주)월드그린,가구오일/스탠다드,특수목적코팅제,CB22-07-0030
28,(주)월드그린,나비캔들 하바리움오일,특수목적코팅제,CB21-07-1233
29,(주)월드그린,미싱오일,특수목적코팅제,CB21-07-1233
30,아리퓨어,이지세이프 펫 스퀘어(EZ SAFE PET SQUARE),"탈취제, 살균제",FB22-13-0028
31,아리퓨어,이지세이프 제로프 포 펫,"탈취제, 살균제, 세정제, 제거제",FB22-13-0029
32,아리퓨어,이지세이프 제로프 포 캣,"탈취제, 살균제, 세정제, 제거제",FB22-13-0029
33,아리퓨어,오드냥 캣닢,방향제,FB22-12-0454
34,아리퓨어,오드냥 마따따비,방향제,FB22-12-0453
35,일리크 컴퍼니(iliq company),피퍼스탠다드 탈취제 레인포레스트(Pipper Standard Air Deodorizer Rain Forest),탈취제,CB24-13-0233
36,향기 만드는 가게,골든베이 디퓨져(Golden Bay Diffuser),방향제,DB23-12-2741
37,향기 만드는 가게,골든베이 멀티퍼퓸(Golden Bay Multy Perfume),방향제,DB23-12-2729
38,향기 만드는 가게,체리블라썸 디퓨져(Cherryblossom Diffuser),방향제,DB23-12-2741
39,향기 만드는 가게,체리블라썸 멀티퍼퓸(Cherryblossom Multy-perfume),방향제,DB23-12-2729
40,(주)유한크로락스,펑크린 멀티액션,세정제,FA19-01-0100
41,(주)유한크로락스,유한락스 멀티액션 락스와세제 바닥청소용,"세정제, 살균제",FB19-01-0110
42,(주)유한크로락스,유한락스 락스와세제 다목적세정용,"세정제, 살균제",FB19-01-0102
43,(주)유한크로락스,유한락스 멀티액션 락스와세제 다목적세정용,"세정제, 살균제",FB19-01-0102
44,(주)유한크로락스,유한젠 스포츠 액체형,표백제,FB19-21-0040
45,(주)유한크로락스,유한젠 액체형 멀티액션,표백제,FB19-21-0040
46,(주)유한크로락스,유한젠 얼룩제거제,"세탁세제, 표백제",EB24-03-0067
47,(주)유한크로락스,유한락스 멀티액션 주방청소용,세정제,EB21-01-1697
48,(주) 피죤,액츠 솔루션 클린케어,세탁세제,EB22-03-0117
49,(주) 피죤,액츠 솔루션 소다파워,세탁세제,EB22-03-0117
50,(주) 피죤,액츠 솔루션 버블다운,세탁세제,EB22-03-0117
51,(주) 피죤,액츠 솔루션 실내건조,세탁세제,EB22-03-0117
52,(주) 피죤,액츠 솔루션 퓨어클린,세탁세제,EB22-03-0117
53,(주) 피죤,액츠 클린젤 케어솔루션,세탁세제,EB22-03-0117
54,(주) 피죤,무균무때 뿌리는 락스세제,"세정제, 살균제",EA20-01-0855
55,(주) 우지,습기제로,탈취제,FB21-13-1037
56,(주) 우지,숯 습기제로,탈취제,FB21-13-1037
57,주식회사 스카이코리아,무균무때 살균 스프레이,살균제,FB20-21-0066
58,(주) 피죤,건조기용 피죤 드라이시트 섬유유연제 시그니처 라피에스타_에이,"섬유유연제, 탈취제",HB24-05-0042
59,(주) 피죤,건조기용 피죤 드라이시트 섬유유연제 시그니처 미스틱레인_에이,"섬유유연제, 탈취제",HB24-05-0042
60,(주) 피죤,건조기용 피죤 드라이시트 섬유유연제 보타닉 베르가못&로즈_에이,"섬유유연제, 탈취제",HB24-05-0042
61,(주) 피죤,건조기용 피죤 드라이시트 섬유유연제 보타닉 자몽프레시_에이,"섬유유연제, 탈취제",HB24-05-0042
62,(주) 피죤,건조기용 피죤 드라이시트 섬유유연제 보타닉 애플밤_에이,"섬유유연제, 탈취제",HB24-05-0042
63,(주) 피죤,건조기용 피죤 드라이시트 섬유유연제 오리지널 핑크로즈,"섬유유연제, 탈취제",HB24-05-0042
64,(주) 피죤,건조기용 피죤 드라이시트 섬유유연제 오리지널 옐로미모사,"섬유유연제, 탈취제",HB24-05-0042
65,(주) 피죤,건조기용 피죤 드라이시트 섬유유연제 오리지널 블루비앙카,"섬유유연제, 탈취제",HB24-05-0042
66,(주) 피죤,고농축 피죤 보타닉 베르가못&로즈 섬유유연제_에이,"탈취제, 섬유유연제",HB24-13-0367
67,(주) 피죤,고농축 피죤 보타닉 애플밤 섬유유연제_에이,"탈취제, 섬유유연제",HB24-13-0367
68,(주) 피죤,고농축 피죤 보타닉 자몽프레시 섬유유연제_에이,"탈취제, 섬유유연제",HB24-13-0367
69,(주) 피죤,고농축 피죤 실내건조 시그니처 가을여행 섬유유연제,"섬유유연제, 탈취제",EB23-05-0056
70,(주) 피죤,고농축 피죤 실내건조 시그니처 아이스썸머 섬유유연제,"섬유유연제, 탈취제",EB23-05-0056
71,(주) 피죤,고농축 피죤 실내건조 시그니처 라피에스타 섬유유연제,"섬유유연제, 탈취제",EB23-05-0056
72,(주) 피죤,피죤 강력탈취 섬유유연제 블루비앙카,"섬유유연제, 탈취제",EB23-05-0071
73,(주) 피죤,피죤 강력탈취 섬유유연제 옐로미모사,"섬유유연제, 탈취제",EB23-05-0071
